game,det,lead_days,peak_ccu,det_ccu,future_headroom
Natural Disaster Survival,2026-02-06,-5,14675.0,12978,-0.014254892895669594
Murder Mystery 2,2026-02-06,9,192720.5,146070,0.31937084959266104
Murder Mystery 2,2026-02-17,-2,192720.5,134761,0.3577370307433159
Murder Mystery 2,2026-02-25,-3,182970.0,178260,-0.0104930999663413
Murder Mystery 2,2026-03-12,3,190066.5,132639,0.4329608938547486
Murder Mystery 2,2026-04-05,0,212374.0,212374,-0.117208321169258
Murder Mystery 2,2026-05-01,9,168481.0,148650,0.13340733266061217
Prison Life,2026-04-01,10,12919.5,10114,0.2773877793157999
🔨Plane Crazy🔨 [UPDATE],2026-05-01,9,5127.5,3941,0.30106571936056836
🔨Plane Crazy🔨 [UPDATE],2026-05-09,8,5293.0,4960,0.06713709677419355
🔨Plane Crazy🔨 [UPDATE],2026-06-03,4,5452.0,4151,0.31341845338472657
[👵] Welcome to Bloxburg 🏡,2026-02-08,8,28906.0,24370,0.18613048830529338
[👵] Welcome to Bloxburg 🏡,2026-02-16,0,28906.0,28906,-0.07661039230609562
[👵] Welcome to Bloxburg 🏡,2026-03-30,6,39979.0,24081,0.6601885303766455
Epic Minigames ✨,2026-05-03,7,2618.0,2428,0.07825370675453047
Epic Minigames ✨,2026-06-04,3,3094.0,2619,0.18136693394425354
Arsenal,2026-02-06,-5,6730.0,5648,0.06214589235127479
Arsenal,2026-02-16,6,6295.0,5627,0.11871334636573663
Arsenal,2026-04-02,9,5416.5,4525,0.19701657458563535
Arsenal,2026-05-25,13,5907.0,4787,0.23396699394192605
[SPRING UPDATE 2] Counter Blox,2026-05-12,-3,1190.5,783,0.3946360153256705
[🏆SUPER BOWL] NFL Universe Football,2026-02-06,1,21281.0,23670,-0.10092944655682298
[🔥NEW] NFL Universe Football,2026-02-25,-3,19181.0,12149,0.06214503251296403
[🔥NEW] NFL Universe Football,2026-03-29,7,13531.0,12020,0.1257071547420965
[🔥NEW] NFL Universe Football,2026-04-05,0,13531.0,13531,-0.19170792993865937
Build A Boat For Treasure,2026-05-27,11,19030.0,11667,0.6310962543927316
Build A Boat For Treasure,2026-06-03,4,19030.0,15632,0.21737461617195497
Royale🌼High,2026-05-03,0,7719.0,7719,-0.2156367405104288
Greenville,2026-04-01,5,12389.0,11015,0.12473899228325011
Greenville,2026-05-09,1,11739.0,6704,0.7510441527446301
Flee the Facility,2026-02-10,12,32264.5,16410,0.9661486898232785
Flee the Facility,2026-03-04,12,28632.0,13920,1.056896551724138
Flee the Facility,2026-04-05,0,33993.0,33993,-0.19517253552201924
Flee the Facility,2026-04-19,14,27552.5,27358,0.007109437824402369
Flee the Facility,2026-05-19,5,30018.0,23087,0.30021224065491403
[🦈] Adopt Me!,2026-03-04,11,520730.5,300916,0.7304845870608409
[🦈] Adopt Me!,2026-03-14,1,520730.5,512463,0.016132872031736925
[🦈] Adopt Me!,2026-04-05,0,637864.0,637864,-0.1022310398454843
[🦈] Adopt Me!,2026-04-26,1,406198.0,393514,0.03223265245963295
[🦈] Adopt Me!,2026-05-22,0,347165.5,347165,-0.02667031526795616
ABA,2026-02-06,9,16906.0,11251,0.5026219891565195
ABA,2026-02-15,0,16906.0,16906,-0.16594700106471075
ABA,2026-03-20,0,10482.5,10482,-0.1348979202442282
ABA,2026-05-01,1,13627.0,5581,1.4416771187959148
ABA,2026-05-08,-6,13627.0,9179,0.25247848349493407
Bee Swarm Simulator,2025-12-21,7,241787.0,104717,1.308956520908735
🚌 Sunshine Islands Bus Simulator [NEW],2026-05-02,1,5201.0,4946,0.051556813586736756
[🎮CONTROLLER🎮] Grand Piece Online,2026-03-08,0,17716.0,17716,-0.06302212689094604
[🎮CONTROLLER🎮] Grand Piece Online,2026-03-15,-7,17716.0,16599,-0.035002108560756674
Tower of Hell,2026-05-02,-6,10399.0,9421,0.03194989916144783
The Wild West,2026-05-01,2,1090.0,1006,0.08349900596421471
